Date ;CAC Index                                                       ;SPX Index;UKX Index;DAX Index                                                       ;NKY Index                                                       ;INDU Index                                                       ;EUR curncy;EURJPY curncy;EURGBP curncy;GSEACII Index;GSUSCII Index;GSJPCII Index;GOLDS Comdty;CL1 COMB Comdty    ;EUR003M Index;US0003M Index;BP0003M Index;JY0003 Index
12/03/2018;5276,71;2257,29578;8134,08672;12418,39;166,14772;20422,26366;1,2334;131,26;0,88705;#N/A;#N/A;#N/A;1073,1203;49,76884;-0,327;2,10688;0,60206;-0,05467
09/03/2018;5274,4;2262,19359;8124,20111;12346,68;163,16352;20568,06319;1,2307;131,46;0,88858;#N/A;#N/A;#N/A;1074,28158;50,36532;-0,327;2,08875;0,60132;-0,05633
08/03/2018;5254,1;2223,37038;8077,99041;12355,57;163,43749;20208,79206;1,2312;130,79;0,8915;#N/A;#N/A;#N/A;1073,11468;48,80266;-0,327;2,0714;0,59994;-0,05033
07/03/2018;5187,83;2198,85497;8015,55696;12245,36;161,8005;19999,48341;1,2411;131,64;0,89312;#N/A;#N/A;#N/A;1068,88156;49,31054;-0,327;2,05725;0,60106;-0,05367
06/03/2018;5170,23;2201,33956;8003,69106;12113,87;162,7014;20079,17303;1,2404;131,64;0,89321;#N/A;#N/A;#N/A;1076,93861;50,51238;-0,327;2,04728;0,59623;-0,05367
05/03/2018;5167,23;2206,04827;7988,31351;12090,87;160,68788;20167,63399;1,2336;131,01;0,89075;#N/A;#N/A;#N/A;1070,33;50,72969;-0,327;2,0349;0,58893;-0,05033
02/03/2018;5136,58;2185,87557;7908,27335;11913,71;162,94811;19930,19862;1,2317;130,23;0,89266;#N/A;#N/A;#N/A;1074,35835;49,74821;-0,327;2,02519;0,5847;-0,0585
01/03/2018;5262,56;2192,6547;8070,53859;12190,94;166,55225;20151,47434;1,2267;130,32;0,89047;#N/A;#N/A;#N/A;1078,39015;49,94268;-0,327;2,02457;0,57944;-0,0585
28/02/2018;5320,49;2222,81111;8165,44201;12435,85;169,3562;20500,61366;1,2194;130,08;0,88617;#N/A;#N/A;#N/A;1079,83864;50,48734;-0,327;2,01719;0,58163;-0,06017
27/02/2018;5343,93;2240,59441;8278,97098;12490,73;170,24046;20746,2682;1,2233;131,3;0,87952;#N/A;#N/A;#N/A;1076,33903;51,44513;-0,328;2,00625;0,58063;-0,06183
26/02/2018;5344,26;2258,36862;8271,55309;12527,04;168,20274;20888,25929;1,2317;131,7;0,88182;#N/A;#N/A;#N/A;1083,41727;51,92558;-0,328;1,98419;0,58006;-0,0585
23/02/2018;5317,37;2232,48826;8231,05337;12483,79;166,95129;20567,19505;1,2295;131,41;0,88046;#N/A;#N/A;#N/A;1079,75784;51,64148;-0,328;1,95625;0,57281;-0,07017
22/02/2018;5309,23;2191,92604;8207,14707;12461,91;164,96892;20235,47379;1,233;131,64;0,88355;#N/A;#N/A;#N/A;1079,92862;50,88359;-0,328;1,94363;0,5635;-0,069
21/02/2018;5302,17;2191,39294;8250,31928;12470,49;165,56733;20116,6377;1,2284;132,39;0,88254;#N/A;#N/A;#N/A;1074,49097;50,03651;-0,329;1,91975;0,55563;-0,07067
20/02/2018;5289,86;2200,46987;8220,71618;12487,9;165,57981;20224,19799;1,2337;132,41;0,88157;#N/A;#N/A;#N/A;1076,75796;50,14582;-0,329;1,90394;0,55319;-0,068
19/02/2018;5256,18;#N/A;8182,44658;12385,6;167,43511;#N/A;1,2407;132,26;0,8863;#N/A;#N/A;#N/A;1084,82637;#N/A;-0,329;1,89213;0,54975;-0,06383
16/02/2018;5281,58;2196,14177;8234,60892;12451,96;164,61064;20271,18468;1,2406;131,88;0,88401;#N/A;#N/A;#N/A;1082,79075;49,57801;-0,328;1,88494;0,54444;-0,06717
15/02/2018;5222,52;2189,86526;8147,86258;12346,17;161,32861;20205,55576;1,2506;132,73;0,88703;#N/A;#N/A;#N/A;1085,39124;49,18217;-0,328;1,8725;0,54663;-0,06867
14/02/2018;5165,26;2173,15983;8119,63776;12339,16;159,13205;20046,29589;1,2451;133,24;0,88943;#N/A;#N/A;#N/A;1087,66713;48,80013;-0,328;1,85;0,54388;-0,06367
13/02/2018;5109,24;2155,70302;8045,95025;12196,5;159,69906;19946,93533;1,2352;133,18;0,88905;#N/A;#N/A;#N/A;1076,35797;47,91549;-0,329;1,83875;0,53987;-0,06767
12/02/2018;5140,06;2163,74745;8078,65082;12282,77;#N/A;20041,76744;1,2292;133,56;0,88841;#N/A;#N/A;#N/A;1077,6049;48,30143;-0,329;1,83338;0,53569;-0,066
09/02/2018;5079,21;2144,71103;8005,25974;12107,48;161,47065;19805,87882;1,2252;133,3;0,88639;#N/A;#N/A;#N/A;1077,57493;48,46897;-0,329;1,82;0,5352;-0,066
08/02/2018;5151,68;2106,93878;8137,12334;12260,29;164,4285;19477,9273;1,2247;133,19;0,88029;#N/A;#N/A;#N/A;1076,54287;49,91837;-0,329;1,8105;0,53017;-0,0535
